"","SubjectTag","CASEID","S00_H40"
"838",83800,838,37.4051593323217
"839",83900,839,66.2911626344086
"840",84000,840,NA
"841",84100,841,43.2233307751343
"842",84200,842,12.810181632131
"843",84300,843,20.4322076612903
"844",84400,844,64.2427730877462
"845",84500,845,56.3088037634409
"846",84600,846,NA
"847",84700,847,65.7060629316961
"848",84800,848,61.2462692930843
"849",84900,849,60.8244815376834
"850",85000,850,54.7127016129032
"851",85100,851,36.5036962365591
"852",85200,852,63.1350806451613
"853",85300,853,NA
"854",85400,854,41.5131747249936
"855",85500,855,60.1432591455615
"856",85600,856,47.1740591397849
"857",85700,857,75.4662298387097
"858",85800,858,NA
"859",85900,859,46.923765668969
"860",86000,860,62.5126008064516
"861",86100,861,30.8295397066262
"862",86200,862,48.7272959836275
"863",86300,863,63.8088037634409
"864",86400,864,NA
"865",86500,865,61.5076319604332
"866",86600,866,56.2721294891249
"867",86700,867,NA
"868",86800,868,66.7498081350729
"869",86900,869,NA
"870",87000,870,64.2555640828857
"871",87100,871,33.7042721923766
"872",87200,872,86.6683467741936
"873",87300,873,NA
"874",87400,874,86.3456126886672
"875",87500,875,63.1510416666667
"876",87600,876,73.6185725249424
"877",87700,877,85.7444359171144
"878",87800,878,64.7933467741936
"879",87900,879,69.4870810949092
"880",88000,880,87.6822716807368
"881",88100,881,85.3813844086022
"882",88200,882,79.9822964087001
"883",88300,883,48.9767203888463
"884",88400,884,86.0268082953971
"885",88500,885,61.3935255437532
"886",88600,886,85.8339728830903
"887",88700,887,92.8562292146329
"888",88800,888,63.6004704301075
"889",88900,889,69.6282084079475
"890",89000,890,92.7901424064126
"891",89100,891,55.3116599462366
"892",89200,892,21.6733870967742
"893",89300,893,51.5076319604332
"894",89400,894,NA
"895",89500,895,67.6004093118445
"896",89600,896,63.1804435483871
"897",89700,897,54.9309286262471
"898",89800,898,75.863392171911
"899",89900,899,56.6479065404622
"900",90000,900,72.5743447580645
"901",90100,901,NA
"902",90200,902,77.7630247850278
"903",90300,903,67.5655241935484
"904",90400,904,NA
"905",90500,905,NA
"906",90600,906,88.8014837554362
"907",90700,907,94.695060483871
"908",90800,908,67.4710181451613
"909",90900,909,69.6257560483871
"910",91000,910,83.9144316730524
"911",91100,911,77.1962729912875
"912",91200,912,79.0364583333333
"913",91300,913,85.885136863648
"914",91400,914,41.6141633064516
"915",91500,915,63.539268355078
"916",91600,916,82.7833205423382
"917",91700,917,39.6593331627867
"918",91800,918,16.5476766698935
"919",91900,919,43.4151957022256
"920",92000,920,79.1634689178818
"921",92100,921,63.6025705645161
"922",92200,922,63.4576612903226
